Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
87750	67	104	0	0	3	0	0	2180683	1	0	0	510234	5	433044	0	2618936	5	189938	0	0	1134385
88000	77	107	0	0	1	0	0	2169634	0	0	0	504499	10	440474	0	2625039	11	209750	0	0	1145888
88250	99	119	0	7	0	0	0	2111974	0	0	0	505414	7	446821	0	2633472	5	198102	0	0	1140687
88500	98	129	0	0	2	0	0	2111099	1	0	0	514776	5	451491	0	2641111	5	174286	0	0	1147476
88750	92	122	0	0	0	0	0	2115004	0	0	0	503088	5	456055	0	2647018	6	190790	0	0	1145966
89000	71	107	0	0	1	0	0	2125534	1	0	0	506440	9	463049	0	2653573	5	179450	0	0	1149733
89250	76	116	0	0	30	0	0	2220486	0	0	0	506302	5	466890	0	2663670	5	176098	0	0	1152526
89500	88	106	0	0	3	0	0	2209743	0	0	0	506447	8	471791	0	2664621	6	229020	0	0	1156145
89750	85	123	0	0	1	0	0	2217564	0	0	0	510046	5	475669	0	2966604	4	190526	0	0	1176190
90000	87	142	0	0	4	0	21	2239573	1	0	0	470612	5	481384	0	3014344	5	205727	0	0	1179373
90250	94	115	0	0	4	0	0	2166432	0	0	0	482240	5	485724	0	2877100	6	228184	0	0	1164565
90500	70	119	0	0	1	0	0	2169371	0	0	0	524146	3	491261	0	2887669	5	192903	0	0	1172371
90750	78	128	0	0	1	0	0	2177119	1	0	0	519805	3	496506	0	2890380	5	248799	0	0	1170717
91000	87	130	0	0	1	0	0	2181005	0	0	0	512806	8	500439	0	2847957	6	185898	0	0	1177956
91250	68	120	0	0	2	0	0	2184920	0	0	0	521624	7	505074	0	2789221	9	223097	0	0	1181071
91500	63	131	0	0	1	0	0	2143116	3	0	0	515588	2	511771	0	2771172	5	245363	0	0	1181331
91750	66	130	0	0	2	0	0	2291832	1	0	0	513949	5	513633	0	2770845	4	196944	0	0	1187184
92000	60	159	0	0	2	0	0	2381092	0	0	0	514889	5	518276	0	2766961	6	247556	0	7	1187659
92250	64	136	0	0	1	0	0	2187662	1	0	0	529812	11	521654	0	2766767	5	188435	0	0	1187368
92500	61	135	0	0	2	0	0	2300237	0	0	0	530535	6	526606	0	2770263	5	206135	0	0	1197454
92750	60	137	7	0	3	0	0	2422049	0	0	0	498586	2	531916	0	2776740	6	195267	0	0	1197100
93000	92	125	0	14	7	0	0	2331347	0	0	0	491882	5	535994	0	2782183	5	206881	0	0	1203795
93250	105	137	0	0	2	0	0	2197931	0	0	0	486456	3	542054	0	2790044	14	197649	0	0	1202096
93500	82	159	0	0	8	0	0	2204709	0	0	0	478561	6	545251	0	2798101	6	207006	0	0	1204004
93750	66	124	0	0	0	0	0	2216436	0	0	0	479025	6	549259	0	2804452	5	199601	0	0	1213206
94000	69	104	0	0	2	0	0	2213274	2	0	0	482262	3	556625	7	2813768	4	218097	0	0	1210544
94250	78	126	0	0	2	0	0	2400560	0	0	0	481928	16	559307	0	2821141	6	319795	0	0	1230526
94500	64	127	0	0	1	0	0	2469006	1	0	0	483450	7	563517	0	2828121	9	202027	0	0	1241469
94750	72	126	0	0	2	0	0	2455517	0	0	0	484632	4	568870	0	2834178	5	212105	0	7	1221875
95000	68	138	0	0	0	0	0	2301115	0	0	0	490906	16	573983	0	2841231	6	302972	0	0	1220411
95250	84	144	0	0	2	0	0	2245847	0	0	0	488521	16	577341	0	2853272	5	289085	0	7	1225368
95500	83	167	0	0	2	0	0	2251359	1	0	0	488826	21	607140	0	2852972	5	272440	0	7	1229091
95750	74	138	0	7	0	0	0	2251181	0	0	0	488636	12	637424	0	2863875	6	271985	0	0	1228098
96000	69	128	0	0	1	0	0	2255282	0	0	0	490973	7	643808	0	2933818	5	221183	0	0	1233947
96250	69	147	0	0	0	0	0	2294842	0	0	0	491958	19	645787	0	2938454	4	217019	0	0	1242534
96500	76	148	0	14	1	0	0	2280883	0	0	0	495136	5	655686	0	2954122	6	221475	7	0	1245722
96750	72	132	0	0	0	0	0	2272892	0	0	0	495059	20	665082	0	2957034	5	250848	7	0	1244096
97000	64	147	0	0	1	0	0	2351797	0	0	0	495082	18	668652	0	2968565	5	208274	0	0	1249597
97250	83	153	0	0	1	0	0	2336879	0	0	0	496037	11	667175	0	2964982	13	206352	0	0	1253278
97500	77	121	0	0	1	0	0	2326337	7	0	0	498792	10	674872	0	2972604	5	246602	0	0	1253364
97750	78	148	0	7	3	0	0	2298363	2	0	0	497748	24	695709	0	2980602	9	268307	0	0	1256882
98000	69	149	0	0	0	0	0	2235846	0	0	0	499631	58	666903	0	2989198	6	241345	0	0	1260339
98250	69	134	7	7	2	0	0	2389054	1	0	0	499401	46	628844	0	3022611	4	212934	0	0	1267744
98500	69	148	0	7	0	0	0	2332764	0	0	0	501429	47	631451	0	3073231	5	261329	0	0	1274155
98750	74	149	0	0	5	0	0	2251424	0	0	0	501390	10	635951	0	3025401	6	232270	0	0	1270739
99000	60	164	0	7	1	0	0	2283642	0	0	0	502170	2	643528	0	3023486	5	225593	0	0	1282157
99250	68	151	0	0	2	0	0	2378667	0	0	0	504781	5	665275	0	3031099	5	271009	0	0	1285542
99500	66	165	0	0	0	0	0	2283763	0	0	0	515455	5	671967	0	3033213	6	236512	0	0	1279755
99750	70	170	0	0	2	0	0	2269631	0	0	0	507122	4	663136	0	3043166	5	214928	0	0	1277562
100000	72	151	0	0	8	0	0	2279094	0	0	0	517600	2	668185	0	3033531	5	249113	0	0	1284673
100250	67	165	0	0	0	0	0	2276440	0	0	0	514596	2	663849	0	3003773	6	276557	0	0	1297493
100500	71	152	0	0	4	0	0	2281462	0	0	0	527477	6	667080	0	3004623	4	218650	0	0	1294445
100750	74	157	0	0	7	0	0	2287132	0	0	0	517859	2	673502	50	3014824	5	249224	0	0	1296000
101000	65	163	0	0	3	0	0	2373332	0	0	0	522935	3	675463	0	3020910	10	271254	0	0	1300146
101250	68	156	0	0	11	15	0	2435209	0	0	0	525678	1	680095	0	3029327	5	250025	0	0	1300303
101500	64	175	0	0	2	0	0	2429222	0	0	0	529801	1	682999	0	3043560	5	222692	0	0	1302390
101750	74	170	0	0	1	0	0	2340065	0	0	0	535447	3	686281	0	3049933	6	283685	0	0	1304139
102000	70	199	0	0	1	0	0	2312920	0	0	0	538412	2	698235	0	3058115	5	242653	0	0	1308899
102250	72	161	0	0	2	0	0	2325799	0	0	0	542183	1	698957	0	3067112	5	225785	0	0	1312508
102500	63	174	0	0	4	0	0	2321802	0	0	0	545326	3	698821	0	3076743	4	251199	0	0	1315100
102750	74	165	0	0	2	0	0	2324431	0	0	0	550875	0	703168	0	3085412	6	280046	0	0	1316786
103000	59	182	0	0	2	0	0	2384873	10499	0	0	553242	0	706527	0	3093724	5	254690	0	0	1337915
103250	63	188	0	0	1	0	0	2480882	0	0	0	559896	0	709971	0	3102644	5	284767	0	0	1338332
103500	68	185	0	0	2	0	0	2379902	7	0	0	561426	0	713268	0	3113637	7	281258	0	0	1330779
103750	66	185	0	0	4	0	0	2344180	0	0	0	565936	2	717740	0	3119709	5	284654	0	0	1329257
104000	64	215	0	0	1	0	0	2352064	0	0	0	569507	2	721844	0	3128276	5	251715	0	0	1334213
104250	2	4	0	0	0	7	0	27950	0	1	0	6866	0	11347	1	37491	0	4016	0	0	16165

