Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
41500	23	35	0	0	1	8	19	1012728	0	0	0	112562	2	114090	0	1462600	5	50859	0	0	494741
41750	25	27	0	0	0	0	0	1021352	0	0	0	109430	2	116085	0	1465376	7	51176	0	0	508639
42000	35	37	0	0	0	0	7	1026932	0	0	0	109055	2	118031	0	1378628	5	51089	0	0	509764
42250	24	30	0	0	40	0	0	1033207	0	0	0	110904	2	116206	0	1380118	5	51712	0	0	516181
42500	19	34	1	0	8	0	0	1039187	0	0	0	116913	1	121049	0	1385019	6	51214	0	0	502878
42750	26	27	0	0	1	0	0	1068553	1	0	0	121127	3	124474	0	1402587	5	51621	0	0	512294
43000	73	33	0	0	0	0	0	1087717	1	0	0	116800	0	123100	0	1412502	4	51842	0	0	536852
43250	25	47	0	0	0	0	0	1067376	0	0	0	118012	3	127023	0	1414619	10	53111	0	0	532500
43500	34	45	0	0	0	0	0	1073117	0	0	0	119343	1	130679	0	1514778	5	53013	0	0	545201
43750	29	39	0	0	0	0	0	1082778	0	0	0	128856	3	129668	0	1540580	5	55675	0	0	533614
44000	18	39	0	0	0	0	0	1080001	0	0	0	122573	14	133359	0	1519159	15	54240	0	0	524195
44250	41	34	0	0	1	0	0	1090922	0	0	0	124642	19	133871	0	1505228	5	53166	0	0	545369
44500	26	39	0	0	99	0	0	1099102	0	0	0	126545	10	133862	0	1553630	5	57077	0	0	566705
44750	32	39	0	0	1	0	0	1103637	0	0	0	132012	12	138412	0	1566854	6	55392	0	0	556272
45000	24	52	0	0	1	0	0	1116202	0	0	0	136462	24	142841	0	1576093	5	56803	0	0	562202
45250	24	32	0	0	0	0	0	1137525	0	0	0	131141	22	138422	0	1566739	4	55089	0	0	546947
45500	29	40	0	0	1	0	0	1117142	0	0	0	131585	5	143739	0	1605666	6	56427	0	0	569084
45750	27	32	0	0	0	0	0	1124154	0	0	0	133140	8	138859	0	1648051	5	57136	0	0	552830
46000	26	45	0	0	0	0	0	1126070	0	0	0	138737	8	152919	0	1581095	5	57891	0	0	569738
46250	22	49	0	0	1	0	0	1137539	0	0	0	136708	3	155856	0	1550818	6	58818	0	0	573700
46500	37	41	0	7	0	0	0	1135935	0	0	0	138426	8	153032	0	1506149	10	57815	0	0	577791
46750	36	40	0	0	0	0	0	1144095	0	0	0	140574	7	235961	0	1514049	5	58384	0	0	592445
47000	31	82	0	0	1	0	0	1151365	0	0	0	140842	7	152411	0	1522972	6	58051	0	0	590721
47250	24	52	0	0	0	0	0	1157063	1	0	0	150242	10	158744	0	1533468	4	59079	0	0	590700
47500	39	58	0	0	0	0	0	1188062	0	0	0	144877	11	156793	0	1545606	5	61124	0	0	591447
47750	26	56	0	0	9	0	0	1195140	0	0	0	153780	12	160974	0	1548659	6	61815	0	0	600424
48000	34	48	7	0	3	0	7	1177182	0	0	0	156685	3	157514	0	1571526	5	61020	0	0	588586
48250	32	51	0	0	15	0	0	1177820	0	0	0	163472	18	177520	0	1602217	5	60141	0	0	578302
48500	29	57	12	0	29	0	0	1188615	0	0	0	163265	4	178852	0	1569372	6	60356	0	0	596026
48750	29	54	0	0	16	0	7	1189205	0	0	0	155504	12	189105	0	1577489	5	61795	0	7	624161
49000	33	53	0	28	4	0	0	1195071	0	0	0	160325	1	193645	0	1587708	5	60647	0	0	601968
49250	34	57	0	0	8	0	0	1203100	8	23	0	162547	18	183980	0	1593669	6	60945	0	0	622710
49500	35	41	0	0	1	0	0	1209145	12	0	0	167287	9	129402	0	1600618	4	60607	0	0	621571
49750	26	69	0	0	0	0	0	1214811	0	0	0	167339	5	135057	0	1614295	10	61992	0	0	609252
50000	32	62	0	0	2	0	0	1222199	0	0	0	170183	32	139219	0	1709668	6	63032	0	0	629447
50250	26	68	0	0	0	0	0	1227423	0	0	0	172850	26	137409	0	1727221	5	63211	0	0	631364
50500	34	69	0	0	1	0	0	1231756	0	0	0	177537	6	144168	0	1723243	5	64789	0	0	639562
50750	25	62	0	0	0	0	0	1238164	1	0	0	173886	4	143340	0	1679017	6	65364	0	0	643889
51000	29	64	0	0	1	0	0	1243530	0	0	0	177774	5	147325	0	1641017	5	64722	0	0	641876
51250	23	93	0	0	1	0	0	1253562	0	0	0	185200	3	147205	0	1645138	5	65474	0	0	663470
51500	20	66	0	0	0	0	0	1261894	4328	0	0	181223	4	151936	0	1655015	4	67596	0	0	669191
51750	22	78	0	0	1	0	0	1271889	0	0	0	184381	4	150682	0	1663217	7	73952	0	0	674001
52000	50	70	15	0	1	0	0	1281734	0	0	0	191737	3	158162	0	1669220	5	72104	0	0	678320
52250	29	61	0	0	0	0	0	1271787	0	0	0	187415	3	153541	0	1682067	5	72056	0	0	680895
52500	27	55	0	0	9	0	0	1277433	0	0	0	189526	28	159261	0	1686687	6	72958	0	0	643030
52750	29	62	0	0	0	0	0	1283750	0	0	0	192065	4	157511	0	1692933	5	72050	0	0	667374
53000	32	92	0	0	2	0	0	1286238	0	0	0	197249	2	161628	0	1697230	10	72588	0	0	636510
53250	29	71	0	0	1	0	0	1298426	0	0	0	195273	6	162353	0	1710190	6	80291	0	0	638772
53500	34	76	0	0	0	0	0	1301429	0	0	0	200449	5	163346	0	1712993	5	80837	0	0	681531
53750	27	80	0	0	0	7	0	1305263	0	0	0	205001	0	164354	0	1725597	4	83581	0	0	652327
54000	44	82	0	0	0	0	0	1307876	0	0	0	202970	4	171738	0	1731911	6	83589	0	0	686341
54250	25	94	0	0	1	0	0	1317636	0	0	0	207995	2	170246	7	1742307	5	83167	8	0	685707
54500	41	81	0	0	16	0	0	1322812	0	0	0	210929	2	172768	0	1743550	5	83928	0	0	677832
54750	33	79	0	0	8	0	0	1327523	0	0	0	213359	2	176126	7	1751287	6	83357	0	0	682233
55000	31	96	0	0	1	0	0	1352118	0	0	0	214003	3	178749	23	1760853	5	73563	0	0	697636
55250	24	86	0	0	1	0	0	1346480	0	0	0	229684	3	177428	7	1769912	5	74705	0	0	706489
55500	24	68	0	0	0	0	0	1345421	0	0	11	219837	2	199448	0	1773205	13	85463	0	0	719194
55750	27	74	7	0	0	0	0	1351282	0	0	0	226402	2	235753	0	1782602	4	87736	0	0	691889
56000	26	84	0	0	1	0	0	1358525	0	0	0	225582	1	233913	0	1789091	5	82139	0	0	705857
